datetime,ABBV,ACRS,ADMP,ADMS,AEZS,AGEN,AGIO,AGN,DERM,DOVA,DRRX,ENTA,EXEL,NEOS,NVO,NVS,ONCE,OPK,VRTX,XENT,cash,commission,total,returns,equity_curve,drawdown
2018-02-02,82266.9939,43429.12,0.0,90187.68000000001,38702.619999999995,43896.380000000005,61506.240000000005,41545.3455,0.0,0.0,0.0,113638.56,53912.479999999996,0.0,48437.9833,0.0,58328.28,0.0,0.0,58053.0,413243.62949999986,637.049,1147148.3121999998,-0.013584191350011876,1.1471483122000012,-0.03960077969999998
2018-02-05,78223.9599,41481.44,0.0,86450.76,37591.53999999999,42722.68,0.0,39736.7208,0.0,0.0,0.0,116372.76,50772.64,0.0,47305.5086,0.0,57242.52,0.0,0.0,57190.05,474743.3814999999,643.537,1129833.9607999998,-0.015093385236992218,1.1298339608000012,-0.056915131100000016
2018-02-06,0.0,40196.799999999996,0.0,91742.64,38147.08,43779.01,0.0,40538.6694,0.0,0.0,0.0,0.0,51789.520000000004,0.0,47535.91499999999,0.0,57493.08,0.0,0.0,57425.4,669323.8533999999,659.7850000000001,1137971.9678,0.0072028344715695525,1.1379719678000013,-0.0487771240999999
2018-02-07,0.0,41232.799999999996,0.0,91516.92,37591.53999999999,44131.119999999995,0.0,41034.7782,0.0,0.0,0.0,0.0,53020.479999999996,0.0,47948.5643,0.0,57044.16,0.0,0.0,56640.9,669323.8533999999,659.7850000000001,1139485.1158999999,0.0013296883779352342,1.139485115900001,-0.04726397600000021
2018-02-08,0.0,40549.04,0.0,88482.24,36110.1,43544.27,0.0,39544.0704,0.0,0.0,0.0,0.0,49238.4,0.0,46566.5151,0.0,53275.32,0.0,0.0,55150.35,669323.8533999999,659.7850000000001,1121784.1589,-0.015534171313873801,1.121784158900001,-0.06496493300000017
2018-02-09,0.0,39388.72,0.0,84945.95999999999,35369.38,42840.049999999996,0.0,39199.6665,0.0,0.0,0.0,0.0,50326.64,0.0,48054.1348,0.0,54862.2,0.0,0.0,56248.65,669323.8533999999,659.7850000000001,1120559.2547,-0.0010919250287872995,1.120559254700001,-0.06618983720000027
2018-02-12,0.0,39575.200000000004,0.0,84795.48000000001,34813.84,44483.23,0.0,39125.016899999995,0.0,0.0,0.0,0.0,51825.200000000004,0.0,48437.9833,0.0,56459.52,0.0,0.0,56484.0,669323.8533999999,659.7850000000001,1125323.3235999998,0.004251510020570226,1.1253233236000006,-0.06142576830000057
2018-02-13,0.0,40362.56,0.0,84920.88,34999.02,44131.119999999995,0.0,38224.3131,0.0,0.0,0.0,0.0,51379.200000000004,0.0,48130.904500000004,0.0,57211.2,0.0,0.0,56170.2,669323.8533999999,659.7850000000001,1124853.251,-0.00041772225825376097,1.1248532510000009,-0.06189584090000033
2018-02-14,0.0,40528.32,0.0,87880.31999999999,35739.74,45070.08,0.0,40129.263,0.0,0.0,0.0,0.0,52699.36,0.0,48754.6948,0.0,56490.84,0.0,50952.24,57150.825,619378.2813999999,663.9970000000001,1134773.9641999998,0.008819562188383534,1.1347739642000008,-0.051975127700000456
2018-02-15,0.0,41895.84,0.0,86350.44,36110.1,49412.77,0.0,39609.0729,0.0,0.0,0.0,0.0,53127.520000000004,0.0,49484.1529,0.0,57409.560000000005,0.0,52144.56,59308.2,619378.2813999999,663.9970000000001,1144230.4971999999,0.008333406738554094,1.1442304972000008,-0.04251859470000041
